GPS,1498903277.118647,0.0,0.0
LidarLite,1498903277.618151,415
LidarLite,1498903277.622977,617
LidarLite,1498903277.627529,618
LidarLite,1498903277.632033,618
LidarLite,1498903277.636481,616
LidarLite,1498903277.640923,618
LidarLite,1498903277.645383,618
LidarLite,1498903277.64982,613
LidarLite,1498903277.654303,614
LidarLite,1498903277.658744,615
LidarLite,1498903277.663183,618
LidarLite,1498903277.667597,614
LidarLite,1498903277.672033,614
LidarLite,1498903277.676408,617
LidarLite,1498903277.680802,618
LidarLite,1498903277.685262,616
LidarLite,1498903277.689694,617
LidarLite,1498903277.694204,617
LidarLite,1498903277.698675,619
LidarLite,1498903277.703177,618
LidarLite,1498903277.707629,618
LidarLite,1498903277.712099,617
LidarLite,1498903277.716567,617
LidarLite,1498903277.721028,616
LidarLite,1498903277.725505,618
LidarLite,1498903277.72999,618
LidarLite,1498903277.734608,617
LidarLite,1498903277.739402,616
LidarLite,1498903277.744002,618
LidarLite,1498903277.748552,613
LidarLite,1498903277.753062,616
LidarLite,1498903277.757529,619
LidarLite,1498903277.762048,615
LidarLite,1498903277.766516,616
LidarLite,1498903277.770949,616
LidarLite,1498903277.775416,613
LidarLite,1498903277.779914,615
LidarLite,1498903277.784366,617
LidarLite,1498903277.788797,615
LidarLite,1498903277.793257,618
LidarLite,1498903277.797685,619
LidarLite,1498903277.802122,616
LidarLite,1498903277.806548,621
LidarLite,1498903277.810968,619
LidarLite,1498903277.815403,616
LidarLite,1498903277.819913,615
LidarLite,1498903277.82436,617
LidarLite,1498903277.828849,615
LidarLite,1498903277.833296,618
LidarLite,1498903277.837721,615
LidarLite,1498903277.842168,615
LidarLite,1498903277.84659,617
LidarLite,1498903277.851009,612
LidarLite,1498903277.855445,615
LidarLite,1498903277.859913,620
LidarLite,1498903277.864319,619
LidarLite,1498903277.86869,616
LidarLite,1498903277.873101,615
LidarLite,1498903277.877474,617
LidarLite,1498903277.881885,617
LidarLite,1498903277.886382,619
LidarLite,1498903277.890827,616
LidarLite,1498903277.895298,617
LidarLite,1498903277.89979,617
LidarLite,1498903277.904272,616
LidarLite,1498903277.908726,618
LidarLite,1498903277.913177,617
LidarLite,1498903277.917639,616
LidarLite,1498903277.922113,616
LidarLite,1498903277.926583,616
LidarLite,1498903277.931042,614
LidarLite,1498903277.93549,617
LidarLite,1498903277.939935,616
LidarLite,1498903277.944415,614
LidarLite,1498903277.948909,617
LidarLite,1498903277.953396,617
LidarLite,1498903277.957881,619
LidarLite,1498903277.962371,618
LidarLite,1498903277.966838,614
LidarLite,1498903277.971368,617
LidarLite,1498903277.975829,618
LidarLite,1498903277.98027,617
LidarLite,1498903277.984721,618
LidarLite,1498903277.98915,615
LidarLite,1498903277.993595,618
LidarLite,1498903277.998016,616
LidarLite,1498903278.002466,616
LidarLite,1498903278.006886,613
LidarLite,1498903278.011405,620
LidarLite,1498903278.015851,616
LidarLite,1498903278.020279,619
LidarLite,1498903278.024728,617
LidarLite,1498903278.029154,615
LidarLite,1498903278.033592,617
LidarLite,1498903278.038013,615
LidarLite,1498903278.042451,615
LidarLite,1498903278.046859,616
LidarLite,1498903278.051369,614
LidarLite,1498903278.055805,618
LidarLite,1498903278.060302,618
LidarLite,1498903278.064766,616
LidarLite,1498903278.069218,615
LidarLite,1498903278.073677,617
LidarLite,1498903278.078115,619
LidarLite,1498903278.082555,614
LidarLite,1498903278.086973,618
LidarLite,1498903278.091498,620
